REF_DATE,GEO,unemployment_rate
2020-10,Alberta,0.5
2020-10,Alberta,0.6
2020-10,Alberta,24.0
2020-10,Alberta,22.0
2020-10,Alberta,1.7
2020-10,Alberta,1.7
2020-10,Alberta,2.1
2020-10,Alberta,23.4
2020-10,Alberta,21.2
2020-10,Alberta,9.6
2020-10,Alberta,8.3
2020-10,Alberta,0.4
2020-10,Alberta,0.4
2020-10,Alberta,0.6
2020-10,Alberta,9.1
2020-10,Alberta,7.7
2020-10,Alberta,0.5
2020-10,Alberta,0.5
2020-10,Alberta,0.6
2020-10,Alberta,11.2
2020-10,Alberta,10.3
2020-10,Alberta,1.0
2020-10,Alberta,0.9
2020-10,Alberta,1.3
2020-10,Alberta,12.4
2020-10,Alberta,10.4
2020-10,Alberta,0.6
2020-10,Alberta,0.6
2020-10,Alberta,0.8
2020-10,Alberta,12.2
2020-10,Alberta,10.5
2020-10,Alberta,0.6
2020-10,Alberta,0.6
2020-10,Alberta,0.8
2020-10,Alberta,24.0
2020-10,Alberta,22.4
2020-10,Alberta,2.4
2020-10,Alberta,2.4
2020-10,Alberta,3.0
2020-10,Alberta,22.0
2020-10,Alberta,22.6
2020-10,Alberta,10.7
2020-10,Alberta,8.6
2020-10,Alberta,0.6
2020-10,Alberta,0.6
2020-10,Alberta,0.7
2020-10,Alberta,10.3
2020-10,Alberta,8.1
2020-10,Alberta,0.7
2020-10,Alberta,0.7
2020-10,Alberta,0.9
2020-10,Alberta,12.1
2020-10,Alberta,10.5
2020-10,Alberta,1.3
2020-10,Alberta,1.2
2020-10,Alberta,1.7
2020-10,Alberta,10.6
2020-10,Alberta,9.7
2020-10,Alberta,0.6
2020-10,Alberta,0.7
2020-10,Alberta,0.8
2020-10,Alberta,10.3
2020-10,Alberta,9.8
2020-10,Alberta,0.6
2020-10,Alberta,0.7
2020-10,Alberta,0.8
2020-10,Alberta,24.0
2020-10,Alberta,21.7
2020-10,Alberta,2.3
2020-10,Alberta,2.6
2020-10,Alberta,2.8
2020-10,Alberta,24.9
2020-10,Alberta,19.6
2020-10,Alberta,8.3
2020-10,Alberta,7.8
2020-10,Alberta,0.6
2020-10,Alberta,0.6
2020-10,Alberta,0.8
2020-10,Alberta,7.8
2020-10,Alberta,7.2
2020-10,Alberta,0.7
2020-10,Alberta,0.7
2020-10,Alberta,0.9
2020-10,Alberta,10.2
2020-10,Alberta,10.1
2020-10,Alberta,1.3
2020-10,Alberta,1.3
2020-10,Alberta,1.7
2020-11,Alberta,11.1
2020-11,Alberta,10.6
2020-11,Alberta,0.4
2020-11,Alberta,0.5
2020-11,Alberta,0.6
2020-11,Alberta,10.9
2020-11,Alberta,10.7
2020-11,Alberta,0.5
2020-11,Alberta,0.5
2020-11,Alberta,0.6
2020-11,Alberta,23.5
2020-11,Alberta,23.1
2020-11,Alberta,1.7
2020-11,Alberta,1.7
2020-11,Alberta,2.1
2020-11,Alberta,23.9
2020-11,Alberta,22.7
2020-11,Alberta,9.2
2020-11,Alberta,8.7
2020-11,Alberta,0.4
2020-11,Alberta,0.4
2020-11,Alberta,0.6
2020-11,Alberta,8.8
2020-11,Alberta,8.4
2020-11,Alberta,0.5
2020-11,Alberta,0.5
2020-11,Alberta,0.6
2020-11,Alberta,10.3
2020-11,Alberta,9.8
2020-11,Alberta,1.0
2020-11,Alberta,0.9
